id,title,description,availability,condition,price,link,image_link,brand,product_type,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
32434038,Visa Mexico,Visa Mexico from US$60,in stock,new,60.00 USD,https://www.estropical.com/en/idea/32434038/visa-mexico,https://joni-ia-agent.github.io/XML---Data-Feed/images/32434038.jpg?v=3,Estropical,Viajes > Paquetes > Centroamérica,PAQUETE-CENTROAMERICA,Paquete,Centroamérica,5 Aug 2026,5 Aug 2026,
54461475,Hotel en la Paz L Casa Grande Suites 5*,Hotel en La Paz l Casa Grande Suites 5* from US$61,in stock,new,61.00 USD,https://www.estropical.com/en/idea/54461475/hotel-en-la-paz-l-casa-grande-suites-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/54461475.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,5 Dec 2026,6 Dec 2026,1 noches
53728168,Actividad en Santa Cruz L Membresía Anual Terramia Resort 5*,Actividad en Santa Cruz l Membresía Anual Terramia Resort 5* from US$72,in stock,new,72.00 USD,https://www.estropical.com/en/idea/53728168/actividad-en-santa-cruz-l-membresia-anual-terramia-resort-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/53728168.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,13 May 2027,13 May 2027,
53563117,Actividad en Santa Cruz L Membresía Anual Terramia Resort 5*,Actividad en Santa Cruz l Membresía Anual Terramia Resort 5* from US$72,in stock,new,72.00 USD,https://www.estropical.com/en/idea/53563117/actividad-en-santa-cruz-l-membresia-anual-terramia-resort-5-,https://joni-ia-agent.github.io/XML---Data-Feed/images/53563117.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,13 May 2027,13 May 2027,
32212557,Santa Cruz | Hotel Novotel + Full Day en la Rinconada,Santa Cruz | Hotel Novotel + Full Day en La Rinconada from US$77,in stock,new,77.00 USD,https://www.estropical.com/en/idea/32212557/santa-cruz-hotel-novotel-full-day-en-la-rinconada,https://joni-ia-agent.github.io/XML---Data-Feed/images/32212557.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,6 Aug 2025,7 Aug 2025,1 noches
53654350,Boleto Solo Ida a Tarija Desde Santa Cruz,Boleto SOLO IDA a Tarija desde Santa Cruz from US$77,in stock,new,77.00 USD,https://www.estropical.com/en/idea/53654350/boleto-solo-ida-a-tarija-desde-santa-cruz,https://joni-ia-agent.github.io/XML---Data-Feed/images/53654350.jpg?v=3,Estropical,Viajes > Vuelos > Internacional,VUELO-INTERNACIONAL,Vuelo,Internacional,10 Oct 2026,10 Oct 2026,
42504681,Visa India,Visa India from US$78,in stock,new,78.00 USD,https://www.estropical.com/en/idea/42504681/-visa-india,https://joni-ia-agent.github.io/XML---Data-Feed/images/42504681.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,10 Dec 2026,11 Dec 2026,
42504588,Visa Indonesia,Visa Indonesia from US$78,in stock,new,78.00 USD,https://www.estropical.com/en/idea/42504588/-visa-indonesia,https://joni-ia-agent.github.io/XML---Data-Feed/images/42504588.jpg?v=3,Estropical,Viajes > Paquetes > Internacional,PAQUETE-INTERNACIONAL,Paquete,Internacional,10 Dec 2026,10 Dec 2026,
32211057,Cochabamba | Hotel Camino Plaza + Ascenso Al Pico Tunari,Cochabamba | Hotel Camino Plaza + Ascenso al Pico Tunari  from US$78,in stock,new,78.00 USD,https://www.estropical.com/en/idea/32211057/cochabamba-hotel-camino-plaza-ascenso-al-pico-tunari-,https://joni-ia-agent.github.io/XML---Data-Feed/images/32211057.jpg?v=3,Estropical,Viajes > Hoteles > Internacional,HOTEL-INTERNACIONAL,Hotel,Internacional,6 Aug 2025,7 Aug 2025,1 noches
53654449,Boleto Solo Ida a Oruro Desde Santa Cruz,Boleto SOLO IDA a Oruro desde Santa Cruz from US$78,in stock,new,78.00 USD,https://www.estropical.com/en/idea/53654449/boleto-solo-ida-a-oruro-desde-santa-cruz,https://joni-ia-agent.github.io/XML---Data-Feed/images/53654449.jpg?v=3,Estropical,Viajes > Vuelos > Internacional,VUELO-INTERNACIONAL,Vuelo,Internacional,10 Oct 2026,10 Oct 2026,
